species_taxid	accession	species_name
3052723	NC_018483	Reptarenavirus aurei
3052723	NC_018482	Reptarenavirus aurei
3052723	JQ717264	Reptarenavirus aurei
3052723	JQ717263	Reptarenavirus aurei
3052724	NC_018484	Reptarenavirus californiae
3052724	NC_018481	Reptarenavirus californiae
3052724	JQ717262	Reptarenavirus californiae
3052724	JQ717261	Reptarenavirus californiae
3052725	KX527582	Reptarenavirus commune
3052725	KX527575	Reptarenavirus commune
3052725	MH503953	Reptarenavirus commune
3052725	MH483069	Reptarenavirus commune
3052725	MH483050	Reptarenavirus commune
3052725	NC_039008	Reptarenavirus commune
3052725	NC_039007	Reptarenavirus commune
3052725	KX527595	Reptarenavirus commune
3052725	KX527591	Reptarenavirus commune
3052725	KR870026	Reptarenavirus commune
3052726	KR870029	Reptarenavirus giessenae
3052726	KR870023	Reptarenavirus giessenae
3052726	KR870022	Reptarenavirus giessenae
3052726	KR870015	Reptarenavirus giessenae
3052726	KR870013	Reptarenavirus giessenae
3052726	KR870012	Reptarenavirus giessenae
3052726	OM456561	Reptarenavirus giessenae
3052726	OM456558	Reptarenavirus giessenae
3052726	OM456556	Reptarenavirus giessenae
3052726	OM456554	Reptarenavirus giessenae
3052726	OM456552	Reptarenavirus giessenae
3052726	OM456549	Reptarenavirus giessenae
3052726	OM456548	Reptarenavirus giessenae
3052726	MW091471	Reptarenavirus giessenae
3052726	MH503954	Reptarenavirus giessenae
3052726	MH483077	Reptarenavirus giessenae
3052726	MH483051	Reptarenavirus giessenae
3052726	MH483094	Reptarenavirus giessenae
3052726	MH483083	Reptarenavirus giessenae
3052726	MH483076	Reptarenavirus giessenae
3052726	MH483070	Reptarenavirus giessenae
3052726	MH483061	Reptarenavirus giessenae
3052726	MH483052	Reptarenavirus giessenae
3052726	NC_039006	Reptarenavirus giessenae
3052726	NC_039005	Reptarenavirus giessenae
3052726	KX527580	Reptarenavirus giessenae
3052726	KX527578	Reptarenavirus giessenae
3052726	KX527577	Reptarenavirus giessenae
3052726	KR870014	Reptarenavirus giessenae
3052727	KF297881	Reptarenavirus rotterdamense
3052727	KF297880	Reptarenavirus rotterdamense
3052727	NC_023762	Reptarenavirus rotterdamense
3052727	NC_023761	Reptarenavirus rotterdamense
3052727	KC508670	Reptarenavirus rotterdamense
3052727	KC508669	Reptarenavirus rotterdamense
3052727	KC508668	Reptarenavirus rotterdamense
3052727	KC508667	Reptarenavirus rotterdamense
3052727	KC508666	Reptarenavirus rotterdamense
3052727	KC508665	Reptarenavirus rotterdamense
3052727	KC508664	Reptarenavirus rotterdamense
1654822	OR194166	unclassified Reptarenavirus
1654822	OR194165	unclassified Reptarenavirus
1654822	KR870010	unclassified Reptarenavirus
1654822	MZ818776	unclassified Reptarenavirus
1654822	MZ818775	unclassified Reptarenavirus
1654822	OM456562	unclassified Reptarenavirus
1654822	OM456559	unclassified Reptarenavirus
1654822	OM456557	unclassified Reptarenavirus
1654822	OM456555	unclassified Reptarenavirus
1654822	OM456553	unclassified Reptarenavirus
1654822	OM456551	unclassified Reptarenavirus
1654822	OM456550	unclassified Reptarenavirus
1654822	MW091469	unclassified Reptarenavirus
1654822	MW091467	unclassified Reptarenavirus
1654822	MN567067	unclassified Reptarenavirus
1654822	MN567066	unclassified Reptarenavirus
1654822	MN567065	unclassified Reptarenavirus
1654822	MN567064	unclassified Reptarenavirus
1654822	MN567060	unclassified Reptarenavirus
1654822	MN567059	unclassified Reptarenavirus
1654822	MN567058	unclassified Reptarenavirus
1654822	MN567054	unclassified Reptarenavirus
1654822	MN567053	unclassified Reptarenavirus
1654822	MN567052	unclassified Reptarenavirus
1654822	MN567047	unclassified Reptarenavirus
1654822	MN567046	unclassified Reptarenavirus
1654822	MN567045	unclassified Reptarenavirus
1654822	MN567044	unclassified Reptarenavirus
1654822	MN567043	unclassified Reptarenavirus
1654822	MN567042	unclassified Reptarenavirus
1654822	MH503957	unclassified Reptarenavirus
1654822	MH503956	unclassified Reptarenavirus
1654822	MH503955	unclassified Reptarenavirus
1654822	MH503952	unclassified Reptarenavirus
1654822	MH483093	unclassified Reptarenavirus
1654822	MH483092	unclassified Reptarenavirus
1654822	MH483091	unclassified Reptarenavirus
1654822	MH483090	unclassified Reptarenavirus
1654822	MH483089	unclassified Reptarenavirus
1654822	MH483087	unclassified Reptarenavirus
1654822	MH483086	unclassified Reptarenavirus
1654822	MH483085	unclassified Reptarenavirus
1654822	MH483084	unclassified Reptarenavirus
1654822	MH483082	unclassified Reptarenavirus
1654822	MH483081	unclassified Reptarenavirus
1654822	MH483079	unclassified Reptarenavirus
1654822	MH483078	unclassified Reptarenavirus
1654822	MH483075	unclassified Reptarenavirus
1654822	MH483074	unclassified Reptarenavirus
1654822	MH483073	unclassified Reptarenavirus
1654822	MH483072	unclassified Reptarenavirus
1654822	MH483071	unclassified Reptarenavirus
1654822	MH483068	unclassified Reptarenavirus
1654822	MH483066	unclassified Reptarenavirus
1654822	MH483065	unclassified Reptarenavirus
1654822	MH483064	unclassified Reptarenavirus
1654822	MH483062	unclassified Reptarenavirus
1654822	MH483060	unclassified Reptarenavirus
1654822	MH483059	unclassified Reptarenavirus
1654822	MH483058	unclassified Reptarenavirus
1654822	MH483057	unclassified Reptarenavirus
1654822	MH483055	unclassified Reptarenavirus
1654822	MH483054	unclassified Reptarenavirus
1654822	MH483053	unclassified Reptarenavirus
1654822	MH483049	unclassified Reptarenavirus
1654822	MH483048	unclassified Reptarenavirus
1654822	MH483047	unclassified Reptarenavirus
1654822	MH483046	unclassified Reptarenavirus
1654822	MH483045	unclassified Reptarenavirus
1654822	MH483088	unclassified Reptarenavirus
1654822	MH483080	unclassified Reptarenavirus
1654822	MH483067	unclassified Reptarenavirus
1654822	MH483063	unclassified Reptarenavirus
1654822	MH483056	unclassified Reptarenavirus
1654822	NC_023766	unclassified Reptarenavirus
1654822	NC_023765	unclassified Reptarenavirus
1654822	KY072972	unclassified Reptarenavirus
1654822	KY072971	unclassified Reptarenavirus
1654822	KY072970	unclassified Reptarenavirus
1654822	KY072969	unclassified Reptarenavirus
1654822	KX527599	unclassified Reptarenavirus
1654822	KX527598	unclassified Reptarenavirus
1654822	KX527597	unclassified Reptarenavirus
1654822	KX527596	unclassified Reptarenavirus
1654822	KX527594	unclassified Reptarenavirus
1654822	KX527593	unclassified Reptarenavirus
1654822	KX527592	unclassified Reptarenavirus
1654822	KX527590	unclassified Reptarenavirus
1654822	KX527589	unclassified Reptarenavirus
1654822	KX527588	unclassified Reptarenavirus
1654822	KX527587	unclassified Reptarenavirus
1654822	KX527586	unclassified Reptarenavirus
1654822	KX527585	unclassified Reptarenavirus
1654822	KX527584	unclassified Reptarenavirus
1654822	KX527583	unclassified Reptarenavirus
1654822	KX527581	unclassified Reptarenavirus
1654822	KX527579	unclassified Reptarenavirus
1654822	KX527576	unclassified Reptarenavirus
1654822	KU311009	unclassified Reptarenavirus
1654822	KU311008	unclassified Reptarenavirus
1654822	KU311007	unclassified Reptarenavirus
1654822	KU214828	unclassified Reptarenavirus
1654822	KU214827	unclassified Reptarenavirus
1654822	KU214826	unclassified Reptarenavirus
1654822	KU214825	unclassified Reptarenavirus
1654822	KU198322	unclassified Reptarenavirus
1654822	KR870033	unclassified Reptarenavirus
1654822	KR870032	unclassified Reptarenavirus
1654822	KR870030	unclassified Reptarenavirus
1654822	KR870028	unclassified Reptarenavirus
1654822	KR870027	unclassified Reptarenavirus
1654822	KR870025	unclassified Reptarenavirus
1654822	KR870024	unclassified Reptarenavirus
1654822	KR870021	unclassified Reptarenavirus
1654822	KR870020	unclassified Reptarenavirus
1654822	KR870019	unclassified Reptarenavirus
1654822	KR870018	unclassified Reptarenavirus
1654822	KR870016	unclassified Reptarenavirus
1654822	KR870011	unclassified Reptarenavirus
1654822	KP071673	unclassified Reptarenavirus
1654822	KP071671	unclassified Reptarenavirus
1654822	KP071663	unclassified Reptarenavirus
1654822	KP071659	unclassified Reptarenavirus
1654822	KP071657	unclassified Reptarenavirus
1654822	KP071652	unclassified Reptarenavirus
1654822	KP071650	unclassified Reptarenavirus
1654822	KP071644	unclassified Reptarenavirus
1654822	KP071643	unclassified Reptarenavirus
1654822	KP071635	unclassified Reptarenavirus
1654822	KP071632	unclassified Reptarenavirus
1654822	KP071630	unclassified Reptarenavirus
1654822	KP071627	unclassified Reptarenavirus
1654822	KP071619	unclassified Reptarenavirus
1654822	KP071613	unclassified Reptarenavirus
1654822	KP071612	unclassified Reptarenavirus
1654822	KP071610	unclassified Reptarenavirus
1654822	KP071608	unclassified Reptarenavirus
1654822	KP071606	unclassified Reptarenavirus
1654822	KP071604	unclassified Reptarenavirus
1654822	KP071599	unclassified Reptarenavirus
1654822	KP071598	unclassified Reptarenavirus
1654822	KP071592	unclassified Reptarenavirus
1654822	KP071589	unclassified Reptarenavirus
1654822	KP071588	unclassified Reptarenavirus
1654822	KP071583	unclassified Reptarenavirus
1654822	KP071582	unclassified Reptarenavirus
1654822	KP071578	unclassified Reptarenavirus
1654822	KP071577	unclassified Reptarenavirus
1654822	KP071573	unclassified Reptarenavirus
1654822	KP071571	unclassified Reptarenavirus
1654822	KP071559	unclassified Reptarenavirus
1654822	KP071558	unclassified Reptarenavirus
1654822	KP071557	unclassified Reptarenavirus
1654822	KP071556	unclassified Reptarenavirus
1654822	KP071545	unclassified Reptarenavirus
1654822	KP071543	unclassified Reptarenavirus
1654822	KP071541	unclassified Reptarenavirus
1654822	KP071539	unclassified Reptarenavirus
1654822	KP071538	unclassified Reptarenavirus
1654822	KP071532	unclassified Reptarenavirus
1654822	KP071530	unclassified Reptarenavirus
1654822	KP071528	unclassified Reptarenavirus
1654822	KP071526	unclassified Reptarenavirus
1654822	KP071524	unclassified Reptarenavirus
1654822	KP071522	unclassified Reptarenavirus
1654822	KP071520	unclassified Reptarenavirus
1654822	KP071516	unclassified Reptarenavirus
1654822	KP071509	unclassified Reptarenavirus
1654822	KP071508	unclassified Reptarenavirus
