accession	organism	taxid	segment	description	isolate	strain
KP071503	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake22/2013 (L10) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake22/2013 (L10)
KP071499	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake23/2013 (L10) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake23/2013 (L10)
KP071646	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L22) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L22)
KP071637	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L22) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L22)
MN567067	Gaucho virus-1	2707730	L	Gaucho virus-1 isolate 1175-17_GauV-1 segment L, complete sequence	1175-17_GauV-1	NA
KP071665	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L22) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L22)
KP071488	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake47/2013 (L4) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake47/2013 (L4)
KP071494	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake46/2013 (L4) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake46/2013 (L4)
KP071483	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake48/2013 (L4) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake48/2013 (L4)
KP071661	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (L10) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (L10)
OR194165	Reptarenavirus sp.	2056255	L	Reptarenavirus sp. isolate RI2796 segment L Z-protein (Z) and RNA-dependent RNA polymerase (L) genes, complete cds	RI2796	NA
KP071676	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L15) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L15)
MN567043	Kaltenbach virus 1	2447926	L	Kaltenbach virus 1 isolate N171-16_KaBV-1 segment L, complete sequence	N171-16_KaBV-1	NA
KX527584	Kaltenbach virus	1938700	L	Kaltenbach virus clone KaBV-1_L_F15158 Z-protein and RNA-dependent RNA polymerase genes, complete cds	KaBV1	NA
KP071518	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake25/2005 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake25/2005 (L7)
MN567053	Kaltenbach virus 1	2447926	L	Kaltenbach virus 1 isolate 481-18_KaBV-1 segment L, complete sequence	481-18_KaBV-1	NA
KP071562	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L14) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L14)
MN567059	Kaltenbach virus 1	2447926	L	Kaltenbach virus 1 isolate 1164-18_KaBV-1 segment L, complete sequence	1164-18_KaBV-1	NA
MH483046	Kaltenbach virus 1	2447926	L	Kaltenbach virus 1 isolate F17-0012_4 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	F17-0012_4	NA
KR870026	Tavallinen suomalainen mies virus	1672384	L	Tavallinen suomalainen mies virus strain TSMV-1 segment L Z protein and RdRp genes, complete cds	1	TSMV-1
KP071517	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake25/2005 (L10) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake25/2005 (L10)
MH503955	Hipoen jatkoon virus	2301525	L	Hipoen jatkoon virus strain S17-252_4 segment L, complete sequence	Hipoen jatkoon virus-1	S17-252_4
MH483077	University of Giessen virus 2	2461343	L	University of Giessen virus 2 isolate S14-1477-78_9 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-1477-78_9	NA
MH483085	Hipoen jatkoon virus 1	2447928	L	Hipoen jatkoon virus 1 isolate S17-172_4 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S17-172_4	NA
KP071668	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L21)
KP071580	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake26/2011 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake26/2011 (L21)
KX527583	Aurora borealis virus	1672381	L	Aurora borealis virus clone ABV-3_L_F15158 Z-protein and RNA-dependent RNA polymerase genes, complete cds	ABV3	NA
KP071603	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (L6)
KP071597	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (L6)
MH483084	Kuka mita hah virus 1	2448017	L	Kuka mita hah virus 1 isolate S17-172_3 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S17-172_3	NA
MH483049	Suri Vanera virus 1	2447929	L	Suri Vanera virus 1 isolate F17-0012_7 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	F17-0012_7	NA
MH483089	Kuka mita hah virus 1	2448017	L	Kuka mita hah virus 1 isolate S17-252_3 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S17-252_3	NA
KP071662	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (L12) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (L12)
MN567054	Aramboia boa virus-1	2707726	L	Aramboia boa virus-1 isolate 481-18_ArBV-1 segment L, complete sequence	481-18_ArBV-1	NA
MH483059	Suri Vanera virus 1	2447929	L	Suri Vanera virus 1 isolate Ger-pool_8 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	Ger-pool_8	NA
