accession	proposed_species
NC_018484	Reptarenavirus californae
KP071531	Reptarenavirus californae
KP071529	Reptarenavirus californae
KP071533	Reptarenavirus californae
KP071532	Reptarenavirus californae
KP071530	Reptarenavirus californae
KP071528	Reptarenavirus californae
NC_018481	Reptarenavirus californae
KP071503	Reptarenavirus giessenae
KP071499	Reptarenavirus giessenae
KP071646	Reptarenavirus giessenae
KP071637	Reptarenavirus giessenae
MN567067	Reptarenavirus giessenae
KP071665	Reptarenavirus giessenae
KP071488	Reptarenavirus giessenae
KP071494	Reptarenavirus giessenae
KP071483	Reptarenavirus giessenae
KP071661	Reptarenavirus giessenae
OR194165	Reptarenavirus giessenae
KP071676	Reptarenavirus giessenae
MN567043	Reptarenavirus giessenae
KX527584	Reptarenavirus giessenae
KP071518	Reptarenavirus giessenae
MN567053	Reptarenavirus giessenae
KP071562	Reptarenavirus giessenae
MN567059	Reptarenavirus giessenae
MH483046	Reptarenavirus giessenae
KR870026	Reptarenavirus giessenae
KP071517	Reptarenavirus giessenae
MH503955	Reptarenavirus giessenae
MH483077	Reptarenavirus giessenae
MH483085	Reptarenavirus giessenae
KP071668	Reptarenavirus giessenae
KP071580	Reptarenavirus giessenae
KX527583	Reptarenavirus giessenae
KP071603	Reptarenavirus giessenae
KP071597	Reptarenavirus giessenae
MH483084	Reptarenavirus giessenae
MH483049	Reptarenavirus giessenae
MH483089	Reptarenavirus giessenae
KP071662	Reptarenavirus giessenae
MN567054	Reptarenavirus giessenae
MH483059	Reptarenavirus giessenae
MH483081	Reptarenavirus giessenae
KX527588	Reptarenavirus giessenae
MH483074	Reptarenavirus giessenae
KP071593	Reptarenavirus giessenae
KP071550	Reptarenavirus giessenae
MH483064	Reptarenavirus giessenae
KP071664	Reptarenavirus giessenae
KP071645	Reptarenavirus giessenae
KX527592	Reptarenavirus giessenae
KR870033	Reptarenavirus giessenae
KX527585	Reptarenavirus giessenae
KP071552	Reptarenavirus giessenae
NC_023765	Reptarenavirus giessenae
KF297881	Reptarenavirus giessenae
KP071600	Reptarenavirus giessenae
KP071579	Reptarenavirus giessenae
NC_023762	Reptarenavirus giessenae
KX527587	Reptarenavirus giessenae
KC508670	Reptarenavirus giessenae
KP071647	Reptarenavirus giessenae
KP071623	Reptarenavirus giessenae
KP071638	Reptarenavirus giessenae
KP071561	Reptarenavirus giessenae
MH483053	Reptarenavirus giessenae
KP071611	Reptarenavirus giessenae
KP071519	Reptarenavirus giessenae
KP071507	Reptarenavirus giessenae
KP071481	Reptarenavirus giessenae
KP071479	Reptarenavirus giessenae
KP071476	Reptarenavirus giessenae
MN567060	Reptarenavirus giessenae
MH503952	Reptarenavirus giessenae
MH483078	Reptarenavirus giessenae
MH483065	Reptarenavirus giessenae
KX527591	Reptarenavirus giessenae
KP071660	Reptarenavirus giessenae
KP071653	Reptarenavirus giessenae
KP071640	Reptarenavirus giessenae
KP071631	Reptarenavirus giessenae
KP071628	Reptarenavirus giessenae
KP071616	Reptarenavirus giessenae
KP071605	Reptarenavirus giessenae
KP071601	Reptarenavirus giessenae
KP071595	Reptarenavirus giessenae
KP071514	Reptarenavirus giessenae
KP071475	Reptarenavirus giessenae
MH503953	Reptarenavirus giessenae
KR870032	Reptarenavirus giessenae
KP071585	Reptarenavirus giessenae
KP071568	Reptarenavirus giessenae
MH483071	Reptarenavirus giessenae
KX527599	Reptarenavirus giessenae
KP071649	Reptarenavirus giessenae
