accession	organism	taxid	segment	description	isolate	strain	species_taxid	species_name	acc_org	acc_spp	classified	Stenglein_snake_number	Hepojoki_snake_number	snake_number
KP071503	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake22/2013 (L10) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake22/2013 (L10)	1654822	unclassified Reptarenavirus	KP071503_unidentified Reptarenavirus	KP071503_unclassified Reptarenavirus	FALSE	22	NA	Stenglein_snake_22
KP071499	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake23/2013 (L10) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake23/2013 (L10)	1654822	unclassified Reptarenavirus	KP071499_unidentified Reptarenavirus	KP071499_unclassified Reptarenavirus	FALSE	23	NA	Stenglein_snake_23
KP071646	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L22) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L22)	1654822	unclassified Reptarenavirus	KP071646_unidentified Reptarenavirus	KP071646_unclassified Reptarenavirus	FALSE	30	NA	Stenglein_snake_30
KP071637	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L22) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L22)	1654822	unclassified Reptarenavirus	KP071637_unidentified Reptarenavirus	KP071637_unclassified Reptarenavirus	FALSE	31	NA	Stenglein_snake_31
MN567067	Gaucho virus-1	2707730	L	Gaucho virus-1 isolate 1175-17_GauV-1 segment L, complete sequence	1175-17_GauV-1	NA	1654822	unclassified Reptarenavirus	MN567067_Gaucho virus-1	MN567067_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071665	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L22) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L22)	1654822	unclassified Reptarenavirus	KP071665_unidentified Reptarenavirus	KP071665_unclassified Reptarenavirus	FALSE	28	NA	Stenglein_snake_28
KP071488	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake47/2013 (L4) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake47/2013 (L4)	1654822	unclassified Reptarenavirus	KP071488_unidentified Reptarenavirus	KP071488_unclassified Reptarenavirus	FALSE	47	NA	Stenglein_snake_47
KP071494	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake46/2013 (L4) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake46/2013 (L4)	1654822	unclassified Reptarenavirus	KP071494_unidentified Reptarenavirus	KP071494_unclassified Reptarenavirus	FALSE	46	NA	Stenglein_snake_46
KP071483	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake48/2013 (L4) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake48/2013 (L4)	1654822	unclassified Reptarenavirus	KP071483_unidentified Reptarenavirus	KP071483_unclassified Reptarenavirus	FALSE	48	NA	Stenglein_snake_48
KP071661	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (L10) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (L10)	1654822	unclassified Reptarenavirus	KP071661_unidentified Reptarenavirus	KP071661_unclassified Reptarenavirus	FALSE	24	NA	Stenglein_snake_24
